Statistical profiling result from isolate-0x103001400-v8.log, (6927120 ticks, 766593 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  61992    0.9%          /usr/lib/system/libsystem_pthread.dylib
  54633    0.8%          /usr/lib/system/libsystem_malloc.dylib
  11159    0.2%          /usr/lib/libc++abi.dylib
   5685    0.1%          /usr/lib/system/libsystem_c.dylib
   4615    0.1%          /usr/lib/system/libsystem_platform.dylib
    706    0.0%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
  35469    0.5%    0.5%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:101:27
  31052    0.4%    0.5%  Builtin: CompileLazy
  25073    0.4%    0.4%  LoadIC: A load IC from the snapshot
  22421    0.3%    0.3%  Builtin: InterpreterEntryTrampoline
  19740    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
  19075    0.3%    0.3%  Builtin: FastNewClosure
   9766    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
   8179    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
   8145    0.1%    0.1%  Builtin: Call_ReceiverIsAny
   7845    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline
   7028    0.1%    0.1%  Builtin: RegExpPrototypeMatch
   6568    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot
   6404    0.1%    0.1%  LazyCompile: *query /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:79:19
   6382    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:432:17
   6365    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
   6293    0.1%    0.1%  Stub: JSEntryStub
   5493    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:101:27
   4890    0.1%    0.1%  Stub: StringAddStub
   4487    0.1%    0.1%  LazyCompile: ~callback zlib.js:447:20
   4237    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
   4204    0.1%    0.1%  StoreIC: A store IC from the snapshot
   4168    0.1%    0.1%  LazyCompile: *console.log /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/start.js:33:24
   3577    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic
   3287    0.0%    0.0%  LazyCompile: ~errBack /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/sqlite3/lib/sqlite3.js:14:31
   3098    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:50:24
   3036    0.0%    0.0%  LazyCompile: *baseClone /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/lodash/lodash.js:2634:23
   2934    0.0%    0.0%  Builtin: ClassOf
   2927    0.0%    0.0%  LoadIC: A load IC from the snapshot {1}
   2889    0.0%    0.0%  Stub: StringAddStub {1}
   2880    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:717:32
   2801    0.0%    0.0%  LazyCompile: *iterate /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:257:25
   2625    0.0%    0.0%  Builtin: CallWithArrayLike
   2597    0.0%    0.0%  Stub: CEntryStub
   2570    0.0%    0.0%  Builtin: JSEntryTrampoline
   2531    0.0%    0.0%  LazyCompile: *from native array.js:904:38
   2523    0.0%    0.0%  Stub: RecordWriteStub {7}
   2475    0.0%    0.0%  LazyCompile: ~fs.write fs.js:2177:53
   2471    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:222:26
   2297    0.0%    0.0%  LazyCompile: ~formatValue util.js:392:21
   2156    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
   2100    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:210:34
   2027    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
   1991    0.0%    0.0%  Builtin: ArrayForEach
   1989    0.0%    0.0%  Builtin: FastArrayPush
   1970    0.0%    0.0%  Builtin: FastNewObject
   1947    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
   1935    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/mutex.js:130:11
   1930    0.0%    0.0%  Builtin: StrictEqual
   1871    0.0%    0.0%  Builtin: LoadIC_Noninlined
   1836    0.0%    0.0%  LazyCompile: ~<anonymous> fs.js:2224:45
   1812    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:349:23
   1804    0.0%    0.0%  LazyCompile: *formatValue util.js:392:21
   1788    0.0%    0.0%  Builtin: TypedArrayInitializeWithBuffer
   1781    0.0%    0.0%  Stub: GetPropertyStub
   1764    0.0%    0.0%  Stub: CallApiGetterStub
   1715    0.0%    0.0%  Builtin: ObjectKeys
   1661    0.0%    0.0%  LoadGlobalIC: A load global IC from the snapshot
   1654    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
   1626    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {1}
   1580    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
   1544    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
   1533    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic_Strict
   1466    0.0%    0.0%  LazyCompile: *saveJoint /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/writer.js:21:19
   1424    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:262:56
   1372    0.0%    0.0%  Builtin: ArrayMap
   1361    0.0%    0.0%  Builtin: StringEqual
   1299    0.0%    0.0%  LazyCompile: *callback zlib.js:447:20
   1281    0.0%    0.0%  LazyCompile: ~wrapper fs.js:2194:19
   1276    0.0%    0.0%  Builtin: HasProperty
   1247    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
   1234    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:159:24
   1226    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:210:34
   1209    0.0%    0.0%  LazyCompile: ~wrapper fs.js:683:19
   1195    0.0%    0.0%  Builtin: ObjectPrototypeToString
   1153    0.0%    0.0%  Builtin: JSConstructStubApi
   1133    0.0%    0.0%  LazyCompile: *WriteStream._write fs.js:2167:40
   1132    0.0%    0.0%  Builtin: ArrayIndexOf
   1106    0.0%    0.0%  LazyCompile: *onCorkedFinish _stream_writable.js:633:24
   1104    0.0%    0.0%  Builtin: TypedArrayConstructByArrayBuffer
   1091    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:159:24
   1081    0.0%    0.0%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
   1050    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/mutex.js:130:11
   1037    0.0%    0.0%  Builtin: FastNewSloppyArguments
   1036    0.0%    0.0%  Stub: CEntryStub {1}
   1020    0.0%    0.0%  Builtin: ToString
    918    0.0%    0.0%  LazyCompile: *WriteStream._writev fs.js:2205:41
    918    0.0%    0.0%  Builtin: Equal
    911    0.0%    0.0%  Builtin: RegExpPrototypeTest
    903    0.0%    0.0%  Builtin: CallBoundFunction
    894    0.0%    0.0%  Builtin: NewUnmappedArgumentsElements
    891    0.0%    0.0%  LazyCompile: *extractComponents /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/string_utils.js:13:31
    889    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:42:24
    870    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:180:25
    859    0.0%    0.0%  Builtin: AdaptorWithExitFrame
    847    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:725:21
    826    0.0%    0.0%  Builtin: CallVarargs
    820    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:262:56
    814    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:405:104
    803    0.0%    0.0%  LazyCompile: ~onWebsocketMessage /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:3846:28
    794    0.0%    0.0%  LazyCompile: *InsertionSort native array.js:542:23
    793    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/validation.js:166:41
    784    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:718:38
    783    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
    763    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:151:29
    743    0.0%    0.0%  Builtin: Typeof
    740    0.0%    0.0%  LazyCompile: *readWitnesses /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/storage.js:556:23
    739    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:19:63
    736    0.0%    0.0%  LazyCompile: *removeListener events.js:355:28
    733    0.0%    0.0%  StoreIC: A store IC from the snapshot {1}
    728    0.0%    0.0%  Builtin: DeleteProperty
    685    0.0%    0.0%  Stub: ArrayConstructorStub
    676    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:50:24
    673    0.0%    0.0%  Builtin: ToBoolean
    664    0.0%    0.0%  LazyCompile: ~cleanup /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/PerMessageDeflate.js:325:19
    663    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/ws/lib/Sender.js:124:73
    661    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub {1}
    650    0.0%    0.0%  LazyCompile: ~extractComponents /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/string_utils.js:13:31
    632    0.0%    0.0%  Builtin: Divide
    612    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/string_utils.js:39:42
    603    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:718:38
    554    0.0%    0.0%  LazyCompile: ~QuickSort native array.js:573:19
    544    0.0%    0.0%  LazyCompile: ~handleResponseToJointRequest /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:1385:38
    543    0.0%    0.0%  Builtin: ForInFilter
    541    0.0%    0.0%  LazyCompile: *Socket._write net.js:798:35
    537    0.0%    0.0%  LazyCompile: ~afterWrite net.js:868:20
    527    0.0%    0.0%  LazyCompile: *notifyWatchers /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/network.js:2072:24
    525    0.0%    0.0%  Stub: RecordWriteStub {15}
    524    0.0%    0.0%  LazyCompile: *Transform._write _stream_transform.js:164:38
    521    0.0%    0.0%  StoreIC: A store IC from the snapshot {2}
    519    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
    516    0.0%    0.0%  LazyCompile: *aB native array.js:531:12
    502    0.0%    0.0%  Stub: ArrayNoArgumentConstructorStub
    500    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/sqlite_pool.js:222:26
    497    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/string_utils.js:39:42
    485    0.0%    0.0%  Builtin: StringLessThan
    476    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/joint_storage.js:24:75
    475    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/async/lib/async.js:42:24
    468    0.0%    0.0%  LazyCompile: *<anonymous> /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/paid_witnessing.js:218:35
    467    0.0%    0.0%  LazyCompile: ~getUnitHash /Users/xing/wwwroot/thingTrust/dekuan/headless-byteball/node_modules/byteballcore/object_hash.js:50:21
    453    0.0%    0.0%  LazyCompile: ~aB native array.js:531:12
